,Description,ID,Latitude,Longitude,Station_Entrance,StationCode1,StationCode2,census_block,census_blockgroup,census_tract,census_index
93,Mezzanine entrance from the bus bay and kiss&ride area off N West St.,111,38.813735,-77.053876,MAIN ENTRANCE (N WEST ST & MADISON ST),C12,,2005,2,201600,2016002
94,"Station entrance located just below the platform and tracks, accessible by the sidewalks from King St(Route.7) and east end of bus bay.",113,38.806767,-77.060715,"MIDDLE ENTRANCE (WALKWAY FROM NORTHEAST BUS BAY, CAMERON & KING STs )",C13,,2008,2,201900,2019002
95,Station entrance located under the platform and tracks accessible from the northeast corner of Cameron St and Commonwealth Ave intersection.,114,38.807295,-77.05980799999999,NORTH ENTRANCE (WALKWAY FROM  CAMERON ST & COMMONWEALTH AVE),C13,,1011,1,201600,2016001
96,Station entrance from bus bay and east side of the station to access the elevator/escalator inside the station.,115,38.800477,-77.070881,"EAST ENTRANCE (EAST OF PLATFORM, EISENHOWER AVE & SWAMP FOX RD)",C14,,1016,1,200702,2007021
97,Facility entrance from busbay and west side of the station to access the elevator/escalator inside the station.,116,38.800565999999996,-77.071001,"WEST ENTRANCE (WEST OF PLATFORM, EISENHOWER AVE & SWAMP FOX RD)",C14,,1016,1,200702,2007021
98,"Escalator to station mezzanine is located and accessible from  metered parking, bus bay and parking garage (south end) sidewalks",117,38.792475,-77.07591,SOUTH ENTRANCE (N KINGS HWY EXIT),C15,,2000,2,420503,4205032
99,Street level elevator located at 12th St NW segment between Pennsylvania Ave NW and Constitution Ave NW.,119,38.893772999999996,-77.028318,ELEVATOR ENTRANCE (WEST SIDE 12TH BETWEEN PENNSYLVANIA &  CONNECTICUT),D01,,1025,1,006202,0062021
100,Building entrance from 12th St  NW segment between Pennsylvania Ave NW and Constitution Ave NW.,120,38.893827,-77.028988,MAIN ENTRANCE (WEST SIDE 12TH BETWEEN PENNSYLVANIA &  CONNECTICUT),D01,,1025,1,006202,0062021
101,Street level elevator located at the northwest corner of  Independence Ave SW and 12th St SW.,121,38.887739,-77.028544,SOUTH ELEVATOR ENTRANCE (NORTHWEST CORNER OF 12TH ST & INDEPENDENCE AVE),D02,,1153,1,006202,0062021
102,Station entrance adjacent to Department of Agriculture building located southwest corner of 12th St SW and Independence Ave SW.,123,38.887364,-77.028604,SOUTH ENTRANCE (SOUTHWEST CORNER OF 12TH ST & INDEPENDENCE AVE),D02,,2004,2,010200,0102002
103,Building entrance(USDOT) from D St SW segment  between 6th St SW and 7th St SW.,124,38.884483,-77.020865,EAST ENTRANCE (7TH & D STs) TO ORANGE/BLUE LINES,D03,F03,1009,1,010200,0102001
104,Building entrance(L'Enfant Plaza) from D St SW segment between 9th St SW and 7th St SW.,125,38.884449,-77.023542,WEST ENTRANCE (9TH AND D STs) TO ORANGE/BLUE LINES,D03,F03,2019,2,010200,0102002
105,Building entrance located in the D St SW segment between 3rd St SW and 4th St SW.,126,38.884904,-77.01602,"BUILDING ELEVATOR ENTRANCE (BUILDING EXIT, D ST BETWEEN 3RD & 4TH STs)",D04,,2007,2,010500,0105002
106,Station entrance is at the southeast corner of 3rd St SW and D St SW.,127,38.884875,-77.015372,MAIN ENTRANCE (SOUTHWEST OF D & 3RD STs),D04,,2007,2,010500,0105002
107,"Escalator entrance from 1 St SE, between C St SE and D St SE.",129,38.885665,-77.00605999999999,MAIN ENTRANCE (1ST ST SE & C ST SE),D05,,1143,1,006202,0062021
108,Entrance elevator located just east of D St SE/7th St SE intersection and adjacent to canopied entrance.,130,38.884246000000005,-76.996024,ELEVATOR ENTRANCE (D & 7th STs),D06,,2003,2,007000,0070002
